model,language,documents,log_bin,period_center,fourier_bins,mean_relative_density,se_relative_density
llama31,it,875,73,1365.3333333333335,1,1.7855970693702368,0.05204633601108382
llama31,it,875,74,2048.0,1,2.1370801269027973,0.09075104879067629
llama31,it,875,75,4096.0,1,3.2344984558651313,0.15177654493667422
llama31,es,726,0,2.079738366502104,157,0.9674951978238043,0.002460481771670812
llama31,es,726,1,2.251755740869529,144,0.9766627111055297,0.0024911126842173926
llama31,es,726,2,2.4380159059456386,134,0.9958785528958141,0.0026710289533143122
llama31,es,726,3,2.6398663190468756,123,1.0247418401246915,0.002857753153713147
llama31,es,726,4,2.858095516768718,114,1.0504165344601955,0.0029810032181602263
llama31,es,726,5,3.0944667104130863,105,1.0823572829166241,0.003309610980216388
llama31,es,726,6,3.3500197264183567,97,1.1181511518506455,0.00373410748228063
llama31,es,726,7,3.627343166455213,90,1.1348743328625046,0.003767960843677717
llama31,es,726,8,3.92626195301624,82,1.1388794174650048,0.003817312287029543
llama31,es,726,9,4.250092689272306,77,1.1134967676128849,0.003487477970325076
llama31,es,726,10,4.603468074230814,71,1.0734091187574037,0.003155208470006486
llama31,es,726,11,4.984267095470073,65,1.034412065656921,0.0029842314108621763
llama31,es,726,12,5.394424560964031,60,0.9916470035793263,0.0029706560791781782
llama31,es,726,13,5.840467452356643,56,0.9574860207816952,0.003102023450284725
llama31,es,726,14,6.322619408629094,51,0.9396766566381515,0.00316737516344536
llama31,es,726,15,6.845610607228076,48,0.9162485712141643,0.003326879670562653
llama31,es,726,16,7.415533941273617,44,0.9102328765787229,0.003387347739759186
llama31,es,726,17,8.025558781654992,40,0.9084071033432639,0.00410699909883175
llama31,es,726,18,8.68951954267665,38,0.9101130816326437,0.005589235529582288
llama31,es,726,19,9.407669204741923,34,0.9165762939594141,0.00653074480013341
llama31,es,726,20,10.179076618235907,32,0.9153362895267929,0.005316924296175458
llama31,es,726,21,11.028566357572464,30,0.9082205606434111,0.005597196011916071
llama31,es,726,22,11.94477170193431,27,0.8926057556334566,0.00590984114619431
llama31,es,726,23,12.924480781696696,25,0.8926024078755401,0.006000635244466083
llama31,es,726,24,13.983106740258739,23,0.8747841291357741,0.006549397744878595
llama31,es,726,25,15.146496450348943,22,0.8630876011257127,0.006465856990663112
llama31,es,726,26,16.421220753444423,20,0.8583965562175787,0.006220708039978134
llama31,es,726,27,17.774568996970093,18,0.8568355938849816,0.006075159593759546
llama31,es,726,28,19.235136338697405,17,0.8772041722184469,0.006731866346728444
llama31,es,726,29,20.796881250446052,15,0.9120287143443565,0.006956382933221337
llama31,es,726,30,22.511839961743885,15,0.8997551592809199,0.007234829455598313
llama31,es,726,31,24.38700267466527,13,0.861582906739853,0.007183322462064399
llama31,es,726,32,26.43351109040132,13,0.8488626030923719,0.006925705699579924
llama31,es,726,33,28.650364158817133,11,0.846793362104224,0.007143091375464501
llama31,es,726,34,30.920474771901404,10,0.8469464866524571,0.007433344053766771
llama31,es,726,35,33.44593172081344,10,0.841871715457068,0.007777097848546175
llama31,es,726,36,36.25725566717276,9,0.849335433073509,0.007965957557322927
llama31,es,726,37,39.205599316416965,8,0.8538334381893028,0.008412448506405875
llama31,es,726,38,42.45756834172835,8,0.8584916258529709,0.008716853314333573
llama31,es,726,39,46.03409888580932,7,0.8429134222155653,0.008989889822824641
llama31,es,726,40,49.96608705487118,7,0.8671395751749579,0.009576835976589981
llama31,es,726,41,54.265543124911304,6,0.8700113787180367,0.010400735101152433
llama31,es,726,42,58.526232769908994,5,0.8769689437729778,0.01095274112189939
llama31,es,726,43,63.03030727083153,5,0.8799790747486697,0.011192591529241595
llama31,es,726,44,68.28564122718676,5,0.8935985620030401,0.011230882230268678
llama31,es,726,45,73.81678310713458,4,0.9070977954423715,0.013731795719025327
llama31,es,726,46,80.34462965429582,5,0.9169782531050049,0.011682360228551165
