corpus,document_id,window_length,omnibus_p,mass_2_4,log_ratio_2_4,mass_4_8,log_ratio_4_8,mass_8_16,log_ratio_8_16,mass_16_32,log_ratio_16_32,mass_32_64,log_ratio_32_64,mass_64_128,log_ratio_64_128,mass_128_256,log_ratio_128_256,mass_256_512,log_ratio_256_512
brown,ca26,1024,0.31840796019900497,0.47754087020439906,-0.04732111139983286,0.2961034448433245,0.18368300195957166,0.10646371191687093,-0.15119520355526506,0.0627946901234433,-0.009367277918996386,0.023861093678578867,-0.23197838331863396,0.014347542115653037,-0.03848474028479121,0.006409658000091694,-0.04857929239333458,0.0015234573632316607,-0.7194933849322727
brown,ca27,1024,0.472636815920398,0.49391097326015176,-0.011823978273353575,0.24095400709280163,-0.03511009078753724,0.10751925316155438,-0.139352591096098,0.07364570267161061,0.1735369997354459,0.035048573227998044,0.12653487251403472,0.02201732900799766,0.414713104790986,0.01394746135578857,0.6972048245414051,0.0066858892780979435,0.894918993646515
brown,ca28,1024,0.9203980099502488,0.5065065620857222,0.021833424425092396,0.23428066547335757,-0.06995301276506138,0.1182288442013453,-0.05531824089140347,0.06484536569997157,0.03961600976040369,0.034924329899752624,0.12379031599302515,0.017629203610235514,0.16889915050142879,0.010499484425414209,0.41751195308835864,0.003845514760546216,0.2928793274458892
brown,ca29,1024,0.6865671641791045,0.48278152898417953,-0.03465252545336106,0.23274878545540253,-0.06884823723862832,0.13820627066322433,0.10982363874977108,0.07213920118307773,0.16283701353213198,0.026335893657988545,-0.15251321165318998,0.013618222644181725,-0.10249711905891612,0.015176672839721858,0.7866007086400479,0.003185061733574083,0.20771461661914614
brown,ca30,1024,0.35323383084577115,0.5134375465261654,0.030390555593216684,0.2416794288540466,-0.03863273981329152,0.0984322406476164,-0.23670047995046684,0.07176212058898326,0.17260849263514633,0.029903947579569868,-0.02491350262847858,0.025499851762871777,0.5768125730997458,0.01206511135536485,0.5219587575707934,0.003986388972684002,0.29827699999440416
brown,ca31,1024,0.8955223880597015,0.5003177025052536,0.00011675885232187433,0.26581102314072336,0.0627579359443633,0.11493142390559812,-0.07583157764224424,0.054833833088005865,-0.11841789170778849,0.023878722923134314,-0.229417161480713,0.014934250176509452,0.05718437377291696,0.006702944458149112,-0.007054458622737236,0.005770084309815947,0.6776181022933008
brown,ca32,1024,0.5671641791044776,0.504962605146267,0.010330991292824998,0.22759548336138247,-0.0903770428593007,0.12341871226336497,0.002731140449868441,0.07366595139077775,0.1638658200818952,0.022822668918214918,-0.27991803656442915,0.014558590297907183,-0.029960885832285733,0.012859460186819546,0.6194819600446451,0.007180579443887373,0.9831924622568593
brown,ca33,1024,0.5223880597014925,0.4907754360829715,-0.012100014816208371,0.23320107372339194,-0.06990418361184103,0.12404081070481511,-0.009125505360624064,0.07232779872029818,0.14784976530470262,0.03164522604373148,0.038720894510413384,0.01678110290661195,0.12404234958701199,0.01910393585928468,1.0138748597368399,0.007886859163721576,1.0313124179176079
brown,ca34,1024,0.009950248756218905,0.5076842953758249,0.016678043771078066,0.2033461050484839,-0.19901942460433197,0.13956798679957555,0.10566341723202166,0.04518235176817933,-0.29727379648450913,0.06666596090827498,0.7757852264817755,0.020446949195586983,0.31065583156353593,0.0038777794454622305,-0.5913906165951426,0.01069629659845238,1.3373671292587783
brown,ca35,1024,0.0945273631840796,0.4870620973373267,-0.026724380982841356,0.2904255145089225,0.15326568061610502,0.10571601475848279,-0.1581080565546582,0.055255070762400826,-0.09894770189614022,0.025833066157168134,-0.14484411139907438,0.013321801438522846,-0.10925342999513354,0.009835993161896605,0.3020617996752648,0.0003925680013432307,-1.997103898894716
brown,ca36,1024,0.7810945273631841,0.49909416630295295,0.004289673639919278,0.2381034907606575,-0.049611587912648414,0.12287011116554367,-0.01714928224633372,0.06714602756146508,0.08177793641397013,0.03916989182789697,0.2379867651491736,0.02389015732243124,0.5215300640118357,0.0048553688221040624,-0.3648185449001957,0.003780744091104047,0.20863907101120827
brown,ca37,1024,0.5124378109452736,0.46345205821925217,-0.07636154287342756,0.25567058613380855,0.0324963334144408,0.14267209383108434,0.12473167335765067,0.07351092296296176,0.17117977695665276,0.032988079096182246,0.08330797959542524,0.020543429206042504,0.3625145403343373,0.005738540098663501,-0.16743024674866014,0.0022277582407960435,-0.34389206952985774
brown,ca38,1024,0.746268656716418,0.4727047685367591,-0.06015285266114567,0.2609666777907522,0.05288278909017241,0.12536440564636708,0.009323784423799442,0.06384935966410007,0.05024898735206618,0.042521648636685346,0.3400868804402335,0.01660893122201452,0.11721788481233197,0.00578285245050921,-0.14278257003040107,0.002124442803371359,-0.27461498259407247
brown,ca39,1024,0.12935323383084577,0.46539638767426705,-0.06895263209345404,0.23708362256238463,-0.058458879579170064,0.14775654096188737,0.18545225044034086,0.059382374092715816,-0.04459269479710182,0.03666167323296201,0.22524920474297616,0.012631493973996327,-0.16772190283869204,0.01167643705145245,0.4866274435292972,0.020251274153539757,1.8386045053854634
brown,ca40,1024,0.35323383084577115,0.4763303480196548,-0.049983932415259225,0.23933879666806512,-0.03807466638854207,0.13655725039219704,0.09457297562981748,0.06718963625201699,0.09275146531214018,0.05535420703426152,0.6099742200544727,0.011115521724308335,-0.2671300766224327,0.005298595193170888,-0.23428437988684703,0.00326241534669214,0.062481136579130236
brown,ca41,1024,0.04477611940298507,0.4705678133412031,-0.0562952536805531,0.2749892991126966,0.09770658381812192,0.12146210125628437,-0.027441658275590086,0.0680870646288935,0.0909714884068955,0.02402552415488804,-0.2332499053372552,0.026972015385315337,0.5881484612092671,0.009885480391462417,0.3628795257789932,0.00029553572177218307,-2.3045123294511427
brown,ca42,1024,0.3781094527363184,0.4778135677898154,-0.04014991497646103,0.22695540933920583,-0.10334065507247825,0.1285190639560817,0.0351628096379768,0.0784729321740496,0.2424563890164224,0.038019962520680364,0.25989516111055,0.02063536725778261,0.31000702624561427,0.014407014688741896,0.7292770215559825,0.005501155360983062,0.5013664842837402
brown,ca43,1024,0.47761194029850745,0.499356703063995,0.001489851464990255,0.2297733890701108,-0.08551395520629756,0.12592938900977196,0.006948578444866627,0.05055157599767161,-0.20464676163205064,0.04609936221179746,0.42823043631437097,0.014468456701814363,0.031768017698134976,0.003736351644873139,-0.5326364295611832,0.008061862790844117,0.9860227153560652
brown,ca44,1024,0.8955223880597015,0.507391653780784,0.015054998287525656,0.23249612918975224,-0.0720358862555992,0.12879120735403393,0.033861034769384624,0.06211815505048579,0.03189999840711044,0.03172430505721801,0.05929850648825452,0.02535685086029936,0.49261253029871765,0.004704351130821232,-0.3099167964728915,0.0038423926924373115,0.25941818631413494
brown,cb01,1024,0.5472636815920398,0.4855577708432306,-0.031277117756243644,0.23640814413892391,-0.047410063415194825,0.12421519300708878,-0.0002119334713914789,0.08374149143380394,0.3188381583776603,0.0342237645897022,0.10472733769083264,0.011547006198481615,-0.217818995715783,0.011298380572379103,0.48853516395159513,0.0053141942641250954,0.5247700530420536
brown,cb02,1024,0.06467661691542288,0.5113685201487931,0.023573503200557733,0.24729144336533,-0.0023938815245818645,0.09371195695137617,-0.29106805653405177,0.05507237397810677,-0.10760839786391108,0.037411836278779774,0.18138936201125988,0.01827985040470391,0.24436954910323472,0.02202898033101977,1.1319655001345859,0.0009040844453293297,-1.2011370355307314
brown,cb03,1024,0.03980099502487562,0.4387591176561904,-0.13124499218951047,0.27063246828203225,0.08127715132945856,0.13227554872739908,0.07650079049906866,0.08610784652724969,0.31238040616639084,0.04537020736120944,0.40396072853098985,0.007615664842197266,-0.6498246449454559,0.008605268467350482,0.232864596173461,0.001615939614061906,-0.5728644340845124
brown,cb04,1024,0.7761194029850746,0.5145678520437524,0.02752930010600474,0.22057809952374566,-0.12348851253987037,0.1267440017106845,0.02474053877272331,0.07076587372825335,0.16088508540481294,0.03390269031271276,0.10365808413686972,0.015441279230431648,0.015301089948470015,0.006753096696027763,-0.029556530452561347,0.0034745859716957387,0.23725598388107638
brown,cb05,1024,0.9800995024875622,0.5047205229018047,0.009799898539954888,0.23922294071083833,-0.03693817169391922,0.13329986192459234,0.08076533314953149,0.057543055441407344,-0.08642743326415214,0.03348631168909283,0.09022097764263215,0.014769514590077082,-0.009109090291320676,0.010770379252287892,0.4464127958917192,0.0032967680850587914,0.16673016261750373
brown,cb06,1024,0.7661691542288557,0.5075487413712595,0.01657319556882897,0.2675709844958597,0.06490549580037719,0.10321137993567879,-0.18663267054359878,0.05889627770391981,-0.026948047944912012,0.03658473651473272,0.18828764459274216,0.01101288164406555,-0.2787079930503422,0.00865570755929405,0.2402699500246186,0.0020432200236347314,-0.31993576198163076
brown,cb07,1024,0.263681592039801,0.4751692711534639,-0.05269954994849535,0.23355904367751276,-0.06818748306998224,0.14454775431822775,0.16037249070024773,0.05030676108787012,-0.18872274540853384,0.03383002399458411,0.13159022524818287,0.02651379603389782,0.6114750844421359,0.006395930064097704,-0.07641095835146405,0.010200642994281185,1.122461841923255
brown,cb08,1024,0.8407960199004975,0.48963043199513456,-0.018367785491660182,0.24988107817791003,0.006066094449266535,0.11752673488998744,-0.06892482666583266,0.06467948499546813,0.045928453713965034,0.04549979853316363,0.41605878072649327,0.015636694208086548,0.05545807538939762,0.00685857572339849,-0.035781229618057075,0.002072093831635938,-0.33165217696439075
brown,cb09,1024,0.07462686567164178,0.463936201124193,-0.07532700651498869,0.25153955029562325,0.010678332198611917,0.10348530270292874,-0.17991523841272672,0.0987729316268297,0.4557648950381217,0.031368255512459794,0.04434488091268651,0.021896214345941502,0.4241399051826913,0.010353894694362292,0.43227915602239,0.004578427278672717,0.37862537956989506
brown,cb10,1024,0.9253731343283582,0.5012363108087787,0.008118505863239922,0.24415259383937454,-0.025963922971632636,0.1225018257114456,-0.014412511306451936,0.06510989089634503,0.06338247332909219,0.03404491060252164,0.09415730016012436,0.010696046789456138,-0.3317411975254245,0.012399813142502988,0.5858046848249021,0.004048021907691588,0.25143422325052445
brown,cb11,1024,0.0945273631840796,0.5310768527968679,0.06181629636039143,0.271251911245263,0.09024984009251291,0.09072375594541618,-0.31898616510327926,0.06189473383131794,0.0021673329403548713,0.02370872290217225,-0.24819990653858381,0.00764500742590468,-0.6708769362646541,0.004898170285484187,-0.3351207639447642,0.004662073011320728,0.44013752463518685
brown,cb12,1024,0.1791044776119403,0.4792115873933418,-0.04386557924628254,0.24607073272558633,-0.004488130141578228,0.10371710514567509,-0.17446045279189315,0.04533023531483754,-0.3249336280803634,0.041054480264631175,0.2914332069405816,0.024231786845098535,0.5198095878672624,0.01159270401553256,0.4735284271176132,0.007786493433116253,0.9453059226836276
brown,cb13,1024,0.43781094527363185,0.48821534742384876,-0.026726545431204674,0.23261618377469812,-0.06463503799751025,0.12442993784864953,0.0071490182215447895,0.0758662222769695,0.21274707210008392,0.027769275651920597,-0.08408417518164324,0.008041154907845087,-0.6084513605126727,0.0078802312035236,0.17073914837994497,0.01008453169108746,1.2568297450852421
brown,cb14,1024,0.01990049751243781,0.562982556333535,0.12442127950264237,0.21422056227964056,-0.15920842177641004,0.11473833978633666,-0.06976203138197468,0.041051920697342696,-0.42291625540132616,0.02513306270599685,-0.1900642831411834,0.016561755176447514,0.1261953842916519,0.008484922071485455,0.17637156259127806,0.01120531676631381,1.2981770626717202
brown,cb15,1024,0.6119402985074627,0.4882380305900627,-0.02378713510514341,0.24723256678395145,-0.011740358003158535,0.11065261741519913,-0.11684090195123176,0.07499546525496677,0.19598751338810816,0.03144700055954254,0.061692306333415825,0.02042709530926987,0.37111836459469894,0.005985784888591762,-0.16401206880514696,0.010107475761157999,1.2499662181112008
brown,cb16,1024,0.900497512437811,0.49186506275294706,-0.014984273915927493,0.2394321997994494,-0.038842900825184934,0.14120754222076576,0.128087787751336,0.06212480710973202,-0.005045346862330824,0.02611980092371074,-0.13986815237189942,0.02055090350935722,0.3178354826785639,0.005372866536227535,-0.2513047652096567,0.002360718773678345,-0.1775630396994865
brown,cb17,1024,0.04975124378109453,0.446841861050416,-0.10623540857862279,0.23844356296872948,-0.039585716491480794,0.17115088120638633,0.299734809864008,0.07383637913292478,0.16610301007744077,0.02124829191950227,-0.36285089586264974,0.011979263229344785,-0.209850989283896,0.005152021661737283,-0.2801499525665374,0.011019534007646473,1.2972880736406092
brown,cb18,1024,0.004975124378109453,0.47867864387402126,-0.04245199397466204,0.1845875956081645,-0.30013310455968556,0.08908008686192093,-0.32625668821116305,0.08616604686956221,0.3304248461811321,0.059980910202127515,0.6822226776578955,0.01662155657671605,0.12999064363994517,0.02228837534731202,1.1853814873658828,0.008866242999177166,1.0591570801612695
brown,cb19,1024,0.009950248756218905,0.44780373738578716,-0.11106471852780642,0.2206084835875161,-0.12378157454589678,0.16707468027532435,0.2956116739726331,0.08386357684307688,0.3097695708838355,0.02501622022217625,-0.17761550080017718,0.02010013606531424,0.3708044271183355,0.016199276351238523,0.8222259563011249,0.008876429687957838,1.0427476288431023
brown,cb20,1024,0.4228855721393035,0.4987285027239617,-0.0034239593076155206,0.2520028840772298,0.012669631451435626,0.14906998199802649,0.17972759784793313,0.05201713979855096,-0.1428087026822289,0.02096574112971735,-0.3669934166633477,0.012024877015145144,-0.22598162722514026,0.004696300826916978,-0.3784675846061214,0.009227433169839018,1.0726242887709345
brown,cb21,1024,0.23383084577114427,0.5479264569120931,0.09518918920475561,0.22611859589979189,-0.10149598689018902,0.12555437479485718,0.008729112273604844,0.046877227891682555,-0.28005244784115924,0.02360325113746998,-0.20410223668182192,0.013094622116574339,-0.11646048287747313,0.009511295715128407,0.24948641632744462,0.005276011995593176,0.5661771931369071
brown,cb22,1024,0.47761194029850745,0.48754213328929835,-0.02692179518608051,0.2616910237541078,0.048860086121931046,0.13563477122283707,0.09838444622713283,0.06855509848229195,0.0968711570001326,0.016770310508697886,-0.6007915510698694,0.013412750806352472,-0.07991017358520836,0.004612220672293728,-0.34554998668383785,0.005005956811406271,0.5629714121626828
brown,cb23,1024,0.12935323383084577,0.5046325491515058,0.008619193578477624,0.2797063525867811,0.11891422932048856,0.10222236926050607,-0.20792002505911356,0.056834190995370105,-0.08150009406742731,0.016625959992789666,-0.5719086590705396,0.02163149822117434,0.4498907571809614,0.011159519423420222,0.41571391666060187,0.0022513905238348703,-0.367943196379235
brown,cb24,1024,0.18407960199004975,0.47423552556959664,-0.05169391055568373,0.2468469854037212,-0.013635960947202097,0.10168857127104224,-0.1974812553063794,0.08166923317128506,0.28398134020883514,0.04456155514233946,0.3915644958583888,0.020812186142086762,0.3568533534290683,0.011680657778002933,0.5283929780908139,0.0026596565955193767,-0.1243197023427074
brown,cb25,1024,0.004975124378109453,0.42807769600340567,-0.16059164212078636,0.2756108987440023,0.11274962945547773,0.14037844911138328,0.11729164472647824,0.09088988055281003,0.4024848615572947,0.04222928673257387,0.34074586675072904,0.014163134179082722,-0.05447129491439995,0.003137260344277317,-0.7554370150021903,0.0034210245959070637,0.17129464650719584
brown,cb26,1024,0.6119402985074627,0.501968150720429,0.003257671891185976,0.23267924037819587,-0.06789826289863532,0.13302778290319248,0.07060364974116995,0.06718860727332279,0.07457763687898566,0.023608583836926045,-0.19724221624727178,0.01263568966554113,-0.17188693148124212,0.012422311791338517,0.642574082150766,0.01096180508678864,1.3432204738121163
brown,cb27,1024,0.4129353233830846,0.502176865480435,0.007817011701737098,0.24533961803178123,-0.024345827110404006,0.10966482972412213,-0.11413986982449753,0.061395629419956285,-0.004659587924565667,0.0422978043020517,0.3533458706114634,0.022207701363983444,0.36800185822297005,0.003053732861454444,-0.8382007330026884,0.00721473039453446,0.8981133239954247
brown,cc01,1024,0.48756218905472637,0.49205815000411,-0.017512684837004522,0.24754807271351786,-0.012989095309001053,0.09981612955144645,-0.19814915318316517,0.06111723308041369,-0.004997325612565717,0.036044347694555154,0.1628716713014322,0.016854738413899686,0.122535750190079,0.012220231591856116,0.5533557100955546,0.011899653520287627,1.4009239754692207
brown,cc02,1024,0.07960199004975124,0.5526879000509389,0.10130482595598866,0.21449791664143636,-0.15078254455762607,0.11492378782164597,-0.06402262955176274,0.04837893887913466,-0.24818023836197645,0.03155423275489605,0.03308266997596787,0.01731187447448553,0.12896315047914264,0.004296047939490122,-0.491848109833386,0.007439460696371412,0.8574687062360455
brown,cc03,1024,0.373134328358209,0.47701809709675275,-0.047038188318184404,0.26141536328334525,0.050978388418225995,0.12899830939712584,0.03513582740787147,0.06156427662971556,-0.0004892297604430773,0.021606952673961594,-0.3588688105469888,0.02533950020776796,0.5101903289759302,0.018365199175212607,1.1060978798773946,0.00395288901455198,0.32750794425871366
brown,cc04,1024,0.835820895522388,0.4861619080488038,-0.02841316429807539,0.25994623375311054,0.043399378074929995,0.12698552072473784,0.018502835072287116,0.05749610028311361,-0.055995759789286836,0.03937534169596339,0.2564552091672163,0.011198538644707679,-0.26500075676708157,0.008299989683940755,0.1939132163025663,0.006039854262565763,0.7703769225615842
brown,cc05,1024,0.8557213930348259,0.5266653135315991,0.05272032436245677,0.2334763126177219,-0.06623180240521265,0.11006858985178437,-0.12046254341546803,0.058500081414057645,-0.05325676089457021,0.031348489591711826,0.05149461918754339,0.016010884846202368,0.0926171841101393,0.0073304080211037785,0.04867424899796724,0.0018777982934861637,-0.5173975397770736
brown,cc06,1024,0.19900497512437812,0.5107102637760947,0.017604762690899278,0.24385375899685258,-0.015441989464092698,0.12838558883458928,0.041538872457923315,0.039586632352805726,-0.45953734486387887,0.03354962784852329,0.0854654773128698,0.024538270536347682,0.5306520427415111,0.010874004595242688,0.5866280388040943,0.003876394733735771,0.20438952810626088
brown,cc07,1024,0.11442786069651742,0.5448302358685215,0.08952412493224149,0.24131414422825304,-0.04413223558465873,0.09733606444475656,-0.23349105848824792,0.046362339335175765,-0.2805904006416746,0.02945463342105596,-0.04091490154066202,0.0119649774765462,-0.22677512747929462,0.009536950506693518,0.3319984815609125,0.006274658097849774,0.8147450509760725
brown,cc08,1024,0.3582089552238806,0.4856074655611728,-0.02409204700662837,0.27401109218681863,0.08742162198035297,0.09922155221812186,-0.22680519162593615,0.062763564617149,0.0067650693568928055,0.03431060409145709,0.1359574106119612,0.013953162982014735,-0.018332618538231316,0.013314992610644203,0.6558127123372373,0.00701444763759018,0.8899915189042176
brown,cc09,1024,0.05472636815920398,0.4796784128269816,-0.04398441652476348,0.210449866130624,-0.1735618084247732,0.1386012190492843,0.1226404071180307,0.06207765901723255,0.029686075804690848,0.041318656318359834,0.2948829228367513,0.02415734345276945,0.5368954443481426,0.023803269533319085,1.1844477249457852,0.004552504013307266,0.4779129872274863
brown,cc10,1024,0.3383084577114428,0.5314191673606887,0.06537404570279648,0.21066468009497297,-0.16148579370744298,0.14591941236248104,0.144061037441074,0.05530578794035884,-0.10888437397241724,0.023443798229216425,-0.29155915520508735,0.01382805922549403,-0.050317227663960296,0.0059598370178409995,-0.16235556761882464,0.0030543418292592523,0.07055126958370028
